Indicator Name,Year,Value
GDP growth (annual %),1961,0.191795489572229
GDP growth (annual %),1962,4.10299258868014
GDP growth (annual %),1963,8.57861891529701
GDP growth (annual %),1964,4.95048866604155
GDP growth (annual %),1965,4.88497683412908
GDP growth (annual %),1966,-4.25051418415514
GDP growth (annual %),1967,-15.7436282082049
GDP growth (annual %),1968,-1.24836024581224
GDP growth (annual %),1969,24.1973839456808
GDP growth (annual %),1970,25.0072419293896
GDP growth (annual %),1971,14.2375315562508
GDP growth (annual %),1972,3.3642620350363
GDP growth (annual %),1973,5.39276048395909
GDP growth (annual %),1974,11.1606745454862
GDP growth (annual %),1975,-5.22774755532079
GDP growth (annual %),1976,9.04235172630207
GDP growth (annual %),1977,6.02411784954168
GDP growth (annual %),1978,-5.76415839390282
GDP growth (annual %),1979,6.75943093519177
GDP growth (annual %),1980,4.20483104427292
GDP growth (annual %),1981,-13.1278804850514
GDP growth (annual %),1982,-6.80338881534801
GDP growth (annual %),1983,-10.9240850339388
GDP growth (annual %),1984,-1.11562321716821
GDP growth (annual %),1985,5.91302745911393
GDP growth (annual %),1986,0.0609452742066878
GDP growth (annual %),1987,3.20012546702944
GDP growth (annual %),1988,7.33402548758716
GDP growth (annual %),1989,1.91938129589555
GDP growth (annual %),1990,11.7768859342067
GDP growth (annual %),1991,0.358352601660286
GDP growth (annual %),1992,4.63119294607692
GDP growth (annual %),1993,-2.03511877399139
GDP growth (annual %),1994,-1.81492448525675
GDP growth (annual %),1995,-0.0726647639378371
GDP growth (annual %),1996,4.19592404660108
GDP growth (annual %),1997,2.93709941924898
GDP growth (annual %),1998,2.58125410192937
GDP growth (annual %),1999,0.584126892918889
GDP growth (annual %),2000,5.01593475931152
GDP growth (annual %),2001,5.91768464920371
GDP growth (annual %),2002,15.3291557409559
GDP growth (annual %),2003,7.34719496799492
GDP growth (annual %),2004,9.2505582291798
GDP growth (annual %),2005,6.43851652538348
GDP growth (annual %),2006,6.05942803202906
GDP growth (annual %),2007,6.59113036068679
GDP growth (annual %),2008,6.76447277780228
GDP growth (annual %),2009,8.03692510099023
GDP growth (annual %),2010,8.00565591628701
GDP growth (annual %),2011,5.30792420289453
GDP growth (annual %),2012,4.23006117493223
GDP growth (annual %),2013,6.67133539306167
GDP growth (annual %),2014,6.30971865525431
GDP growth (annual %),2015,2.65269329543001
GDP growth (annual %),2016,-1.61686894906509
GDP growth (annual %),2017,0.805886619102438
GDP growth (annual %),2018,1.92275734200614
GDP growth (annual %),2019,2.20842927714892
GDP growth (annual %),2020,-6.36889840510109
GDP growth (annual %),2021,1.10925253938163
GDP growth (annual %),2022,4.31882949523192
GDP growth (annual %),2023,3.32684556421316
"Inflation, consumer prices (annual %)",1960,5.4443273618724
"Inflation, consumer prices (annual %)",1961,6.27914723477514
"Inflation, consumer prices (annual %)",1962,5.26563234621733
"Inflation, consumer prices (annual %)",1963,-2.69465535232731
"Inflation, consumer prices (annual %)",1964,0.856793145737554
"Inflation, consumer prices (annual %)",1965,4.10345873811619
"Inflation, consumer prices (annual %)",1966,9.69034608375118
"Inflation, consumer prices (annual %)",1967,-3.72633676514216
"Inflation, consumer prices (annual %)",1968,-0.476059059060833
"Inflation, consumer prices (annual %)",1969,10.155979202822
"Inflation, consumer prices (annual %)",1970,13.757079924793
"Inflation, consumer prices (annual %)",1971,15.9991148482235
"Inflation, consumer prices (annual %)",1972,3.457649752015
"Inflation, consumer prices (annual %)",1973,5.4026644539422
"Inflation, consumer prices (annual %)",1974,12.674393177433
"Inflation, consumer prices (annual %)",1975,33.9641883221776
"Inflation, consumer prices (annual %)",1976,24.2999999999997
"Inflation, consumer prices (annual %)",1977,15.0878340572687
"Inflation, consumer prices (annual %)",1978,21.7092457416665
"Inflation, consumer prices (annual %)",1979,11.7097306212118
"Inflation, consumer prices (annual %)",1980,9.97226199001424
"Inflation, consumer prices (annual %)",1981,20.8128229121949
"Inflation, consumer prices (annual %)",1982,7.69774724714249
"Inflation, consumer prices (annual %)",1983,23.2123315511559
"Inflation, consumer prices (annual %)",1984,17.8205332860842
"Inflation, consumer prices (annual %)",1985,7.43534482758635
"Inflation, consumer prices (annual %)",1986,5.71715145436302
"Inflation, consumer prices (annual %)",1987,11.2903225806451
"Inflation, consumer prices (annual %)",1988,54.5112247797673
"Inflation, consumer prices (annual %)",1989,50.4666881235915
"Inflation, consumer prices (annual %)",1990,7.36440030557696
"Inflation, consumer prices (annual %)",1991,13.0069731037428
"Inflation, consumer prices (annual %)",1992,44.588842715023
"Inflation, consumer prices (annual %)",1993,57.1652528349217
"Inflation, consumer prices (annual %)",1994,57.0317089119659
"Inflation, consumer prices (annual %)",1995,72.8355022972638
"Inflation, consumer prices (annual %)",1996,29.2682926829271
"Inflation, consumer prices (annual %)",1997,8.52987421383634
"Inflation, consumer prices (annual %)",1998,9.99637812386806
"Inflation, consumer prices (annual %)",1999,6.61837339479751
"Inflation, consumer prices (annual %)",2000,6.93329215565161
"Inflation, consumer prices (annual %)",2001,18.8736462093863
"Inflation, consumer prices (annual %)",2002,12.8765792031099
"Inflation, consumer prices (annual %)",2003,14.0317836131437
"Inflation, consumer prices (annual %)",2004,14.9980338183251
"Inflation, consumer prices (annual %)",2005,17.8634933661605
"Inflation, consumer prices (annual %)",2006,8.22522152017047
"Inflation, consumer prices (annual %)",2007,5.38800796858626
"Inflation, consumer prices (annual %)",2008,11.5810751748252
"Inflation, consumer prices (annual %)",2009,12.5378277304689
"Inflation, consumer prices (annual %)",2010,13.7400521363694
"Inflation, consumer prices (annual %)",2011,10.8261371880017
"Inflation, consumer prices (annual %)",2012,12.2242413020584
"Inflation, consumer prices (annual %)",2013,8.49551838265669
"Inflation, consumer prices (annual %)",2014,8.04741087967907
"Inflation, consumer prices (annual %)",2015,9.00943498007706
"Inflation, consumer prices (annual %)",2016,15.6968126387972
"Inflation, consumer prices (annual %)",2017,16.5022662139641
"Inflation, consumer prices (annual %)",2018,12.0951065173432
"Inflation, consumer prices (annual %)",2019,11.3964223378116
"Inflation, consumer prices (annual %)",2020,13.2460234276597
"Inflation, consumer prices (annual %)",2021,16.9528457221608
"Inflation, consumer prices (annual %)",2022,18.8471877843274
"Inflation, consumer prices (annual %)",2023,24.659550203114
"Official exchange rate (LCU per US$, period average)",1960,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1961,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1962,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1963,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1964,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1965,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1966,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1967,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1968,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1969,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1970,0.714285999714286
"Official exchange rate (LCU per US$, period average)",1971,0.712855832988096
"Official exchange rate (LCU per US$, period average)",1972,0.657894999
"Official exchange rate (LCU per US$, period average)",1973,0.657894999
"Official exchange rate (LCU per US$, period average)",1974,0.630282046248239
"Official exchange rate (LCU per US$, period average)",1975,0.615501553350787
"Official exchange rate (LCU per US$, period average)",1976,0.626601003665369
"Official exchange rate (LCU per US$, period average)",1977,0.644701062141186
"Official exchange rate (LCU per US$, period average)",1978,0.635271994265801
"Official exchange rate (LCU per US$, period average)",1979,0.604007374017144
"Official exchange rate (LCU per US$, period average)",1980,0.546780891916083
"Official exchange rate (LCU per US$, period average)",1981,0.617708175028805
"Official exchange rate (LCU per US$, period average)",1982,0.673461261528524
"Official exchange rate (LCU per US$, period average)",1983,0.724409851151574
"Official exchange rate (LCU per US$, period average)",1984,0.766527449112392
"Official exchange rate (LCU per US$, period average)",1985,0.893774083333333
"Official exchange rate (LCU per US$, period average)",1986,1.75452300407481
"Official exchange rate (LCU per US$, period average)",1987,4.0160373443363
"Official exchange rate (LCU per US$, period average)",1988,4.53696666666667
"Official exchange rate (LCU per US$, period average)",1989,7.364735
"Official exchange rate (LCU per US$, period average)",1990,8.038285
"Official exchange rate (LCU per US$, period average)",1991,9.90949166666666
"Official exchange rate (LCU per US$, period average)",1992,17.298425
"Official exchange rate (LCU per US$, period average)",1993,22.0654
"Official exchange rate (LCU per US$, period average)",1994,21.996
"Official exchange rate (LCU per US$, period average)",1995,21.8952583333333
"Official exchange rate (LCU per US$, period average)",1996,21.884425
"Official exchange rate (LCU per US$, period average)",1997,21.88605
"Official exchange rate (LCU per US$, period average)",1998,21.886
"Official exchange rate (LCU per US$, period average)",1999,92.3381
"Official exchange rate (LCU per US$, period average)",2000,101.697333333333
"Official exchange rate (LCU per US$, period average)",2001,111.23125
"Official exchange rate (LCU per US$, period average)",2002,120.578158333333
"Official exchange rate (LCU per US$, period average)",2003,129.22235
"Official exchange rate (LCU per US$, period average)",2004,132.888025
"Official exchange rate (LCU per US$, period average)",2005,131.274333333333
"Official exchange rate (LCU per US$, period average)",2006,128.651666666667
"Official exchange rate (LCU per US$, period average)",2007,125.808108333333
"Official exchange rate (LCU per US$, period average)",2008,118.566666666667
"Official exchange rate (LCU per US$, period average)",2009,148.88
"Official exchange rate (LCU per US$, period average)",2010,150.2975
"Official exchange rate (LCU per US$, period average)",2011,153.8625
"Official exchange rate (LCU per US$, period average)",2012,157.5
"Official exchange rate (LCU per US$, period average)",2013,157.311666666667
"Official exchange rate (LCU per US$, period average)",2014,158.552641666667
"Official exchange rate (LCU per US$, period average)",2015,192.440333333333
"Official exchange rate (LCU per US$, period average)",2016,253.492
"Official exchange rate (LCU per US$, period average)",2017,305.790109160005
"Official exchange rate (LCU per US$, period average)",2018,306.083688245234
"Official exchange rate (LCU per US$, period average)",2019,306.920951495222
"Official exchange rate (LCU per US$, period average)",2020,358.810797258297
"Official exchange rate (LCU per US$, period average)",2021,401.152029220779
"Official exchange rate (LCU per US$, period average)",2022,425.979158066857
"Official exchange rate (LCU per US$, period average)",2023,645.194067883201
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1991,3.831
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1992,3.79
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1993,4.023
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1994,4.064
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1995,4.152
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1996,4.043
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1997,3.964
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1998,3.922
"Unemployment, total (% of total labor force) (modeled ILO estimate)",1999,3.986
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2000,3.953
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2001,3.9
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2002,3.669
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,3.637
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2004,3.59
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2005,3.727
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2006,3.749
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2007,3.794
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2008,3.792
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2009,3.763
"Unemployment, total (% of total labor force) (modeled ILO estimate)",2010,3.744
